Food,Disease,Clinical Trial,Food.or.Diet.Related,title,author,journal,number,cites,year,pubid,
,,,,"A comparison of dietary supplementation with tomato extract, tomato powder, or lycopene on the tissue distribution of lycopene and LNCaP prostate tumor growth in mice","AW Williams, SK Clinton, CM Lee, JW Erdman",FASEB Journal,"12 (5), A966",1,1998,5.2075E+18,35r97b3x0nAC
,,,,Tomato extract retards the growth of hormone independent human prostate cancer (DU145) xenografts in immune deficient mice,"AW Williams, SK Clinton, JW Erdman",FASEB Journal,11 (3),1,1997,8.11054E+18,uWiczbcajpAC
,,,,AMMONIA AND CHOLIC-ACID AS PROMOTERS OF N-METHYL-N'-NITROSOGUANIDINE (MNNG) INDUCED COLON CARCINOGENESIS IN RATS,"SK Clinton, DG Bostwick, HJ MANGIAN, WJ VISEK",PROCEEDINGS OF THE AMERICAN ASSOCIATION FOR CANCER RESEARCH,"27, 131-131",1,1986,8.76631E+17,QYdC8u9Cj1oC
,,,,"Dietary Protein and the Carcinogenesis, Metabolism, and Toxicity of 1, 2-Dimethylhydrazine","WJ VISEK, SK CLINTON",,,1,1985,1.42368E+19,e_rmSamDkqQC
,,,,THE INTERACTIONS OF DIETARY-FAT AND PROTEIN ON BREAST-CANCER,"SK Clinton, WJ Visek",ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,"187 (APR), 68-AGFD",1,1984,1.68353E+19,9c2xU6iGI7YC
,,,,"DIETARY INFLUENCES ON THE TOXICITY, MUTAGENICITY AND CARCINOGENICITY OF HYDRAZINES AND RELATED-COMPOUNDS","WJ Visek, SK Clinton",ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,"187 (APR), 67-AGFD",1,1984,7.98501E+17,umqufdRvDiIC
,,,,DIETARY PROTEIN-FAT INTERACTIONS ON SERUM PROLACTIN (PRL) AND GROWTH-HORMONE (GH) IN GROWING AND ADULT MALE-RATS,"AL Mulloy, PS LI, SK CLINTON, WJ VISEK",FEDERATION PROCEEDINGS,"42 (5), 1313-1313",1,1983,1.31752E+19,4hFrxpcac9AC
,,,,PLASMA PROLACTIN (PRL) AND ITS METABOLIC-CLEARANCE RATE (MCR) IN MALE AND FEMALE RATS FED 5 AND 20 PERCENT DIETARY-FAT,"SK Clinton, AL MULLOY, WJ VISEK",FEDERATION PROCEEDINGS,"41 (3), 357-357",1,1982,3.79397E+18,a9-T7VOCCH8C
,,,,"DIETARY PROTEIN-FAT INTERACTIONS IN 7, 12 DIMETHYLBENZ (A)-ANTHRACENE (DMBA) MAMMARY CARCINOGENESIS","SK CLINTON, CR TRUEX, J SIMON, WJ VISEK",FEDERATION PROCEEDINGS,"39 (3), 647-647",1,1980,6.81139E+18,mlAyqtXpCwEC
,,,,"Dietary Patterns of Insulinemia, Inflammation and Glycemia, and Pancreatic Cancer Risk: Findings from the Women's Health Initiative","Q Jin, PA Hart, N Shi, JJ Joseph, M Donneyong, DL Conwell, SK Clinton, ...",Cancer Epidemiology and Prevention Biomarkers,"30 (6), 1229-1240",0,2021,NA,natZJ_-F0IUC
,,,,Salvage immune checkpoint inhibitor (ICI) plus tyrosine kinase inhibitor (TKI) combination therapy for metastatic renal cell carcinoma (mRCC).,"AB Parikh, SP Psutka, Y Yang, K Collier, A Miah, M Li, S Mori-Vogt, ...",Journal of Clinical Oncology,"39 (15_suppl), e16567-e16567",0,2021,NA,R22Rs3tN8aoC
,,,,876 APPLICATION OF MACHINE LEARNING TO ENHANCE COLORECTAL CANCER DIAGNOSIS AND PREVENTION STRATEGIES FOR YOUNG ADULTS AGED 35-50 YEARS,"H Hussan, J Zhao, PP Stanich, FK Tabung, DM Gray, Q Ma, S Clinton",Gastroenterology,"160 (6), S-183-S-184",0,2021,NA,9shLKfS_uJEC
,,,,Considerations for Use of the Phenol-Explorer Database to Estimate Dietary (Poly) phenol Intake,"EB Hill, AJ Kennedy, KM Roberts, KM Riedl, EM Grainger, SK Clinton",Journal of the Academy of Nutrition and Dietetics,"121 (5), 833-834",0,2021,NA,rOcdG6UcVlcC
,,,,Social Determinants of Health: Enhancing Health Equity.,T Peregrin,Journal of the Academy of Nutrition and Dietetics,,0,2021,NA,rLGzs9wiiwIC
,,,,"Associations of Dairy Intake with Circulating Biomarkers of Inflammation, Insulin Response, and Dyslipidemia among Postmenopausal Women","N Shi, S Olivo-Marston, Q Jin, D Aroke, JJ Joseph, SK Clinton, ...",Journal of the Academy of Nutrition and Dietetics,,0,2021,NA,PlWzFYVEG4EC
,,,,P40. 03 Report on a Phytochemical-rich Dietary Intervention Trial to Prevent Lung Cancer: Implementation in a High-Risk Lung Screening Clinic,"M Bittoni, A Bibi, N Williams, M Mendelson, E Grainger, Y Vodovitz, ...",Journal of Thoracic Oncology,"16 (3), S470-S471",0,2021,NA,KTwcwpFFj4wC
,,,,Insulinemic and inflammatory dietary patterns and risk of prostate cancer,"BC Fu, FK Tabung, CH Pernar, W Wang, AG Gonzalez-Feliciano, ...",European Urology,"79 (3), 405-412",0,2021,NA,9NZAP19TdFAC
,,,,Alterations of DNA damage response genes correlate with response and overall survival in anti‐PD‐1/PD‐L1‐treated advanced urothelial cancer,"M Joshi, P Grivas, A Mortazavi, P Monk, SK Clinton, M Sue‐Ann Woo, ...",Cancer medicine,"9 (24), 9365-9372",0,2020,NA,Y0-TYkg6YM4C
,,,,Association of Dietary Patterns and Pancreatic Cancer Risk in Postmenopausal Women: Role of Diabetes Mellitus and Adiposity,"Q Jin, PA Hart, N Shi, JJ Joseph, M Donneyong, DL Conwell, SK Clinton, ...",PANCREAS,"49 (10), 1414-1414",0,2020,NA,YPNY0knpFBYC
,,,,"SELECTIVE ESTROGEN RECEPTOR MODULATOR, OSU-ERB-12, AMELIORATES PRECLINICAL MODELS OF HEPATIC FIBROSIS AND NASH.","T Helms, H Radomska, SK Kulp, AL Klein, SK Clinton, C Bennett, ...",The Liver Meeting Digital Experience™,,0,2020,NA,yTLRzDEmwhEC
,,,,The Associations Between Obesity and Early Onset Colorectal Cancer: A Propensity-Weighted Analysis of the National Health and Nutrition Examination Survey (NHANES),"H Hussan, A Patel, A Hinton, Q Ma, F Tabung, S Clinton",AMERICAN JOURNAL OF GASTROENTEROLOGY,"115, S606-S607",0,2020,NA,3_LpOwP6eMYC
,,,,S1211 The Associations Between Obesity and Early Onset Colorectal Cancer: A Propensity-Weighted Analysis of the National Health and Nutrition Examination Survey (NHANES),"H Hussan, A Patel, A Hinton, Q Ma, F Tabung, S Clinton",Official journal of the American College of Gastroenterology| ACG,"115, S595",0,2020,NA,RMgMIBzvq-4C
,,,,156P High TLR3 expression predicts improved survival in patients with clear cell renal cell carcinoma,"M Li, Z Li, P Kalinski, C Verschraegen, S Clinton, Y Yang, A Mortazavi, ...",Annals of Oncology,"31, S301",0,2020,NA,In6cVmBjs0IC
,,,,EXERCISE-RELATED SELF-MONITORING AND CHANGE IN MUSCULAR STRENGTH IN PROSTATE CANCER PATIENTS UNDERGOING ANDROGEN DEPRIVATION THERAPY: 542 Board# 358 May 27 10: 30 AM-12: 00 PM,"AK Dispennette, AR Lucas, E Grainger, C Simpson, CM Fairman, ...",Medicine & Science in Sports & Exercise,"52 (7S), 147",0,2020,NA,7H_jS4BsgvYC
,,,,Effects Of A Lifestyle Intervention On Simulated Activity Of Daily Living Performance In Prostate Cancer Patients Undergoing Androgen Deprivation Therapy: 3529 Board# 350 May …,"BC Focht, AR Lucas, E Grainger, C Simpson, CM Fairman, J Bowman, ...",Medicine & Science in Sports & Exercise,"52 (7S), 979",0,2020,NA,W2uZP3ddy8sC
,,,,Dietary Tomato Varieties Similarly Inhibit Prostate Carcinogenesis in the TRAMP Model in Association with Distinct Transcriptomic and Metabolomic Profiles,"C Geraghty, J Thomas-Ahner, R Powell, N Schmidt, ...",Current Developments in Nutrition,"4 (Supplement_2), 326-326",0,2020,NA,x21FZCSn4ZoC
,,,,Risk factors for emergency room and hospital care for patients with advanced solid tumors on immune checkpoint inhibitor therapy.,"AB Parikh, G Mellgard, Q Qin, VG Patel, B Wang, X Zhong, A Leiter, ...",Journal of Clinical Oncology,"38 (15_suppl), e15142-e15142",0,2020,NA,6VlyvFCUEfcC
,,,,"Inflammatory and insulinemic dietary patterns: Influence on circulating biomarkers and prostate cancer risk in the prostate, lung, colorectal and ovarian cancer (PLCO) cohort.","D Aroke, E Folefac, Q Jin, N Shi, SK Clinton, F Tabung",Journal of Clinical Oncology,"38 (15_suppl), e17561-e17561",0,2020,NA,Azgs6IHzeyYC
,,,,Dose‐Dependent Increases in Ellagitannin Metabolites as Biomarkers of Intake in Humans Consuming Standardized Black Raspberry Food Products Designed for Clinical Trials,"KM Roberts, EM Grainger, JM Thomas‐Ahner, A Hinton, J Gu, K Riedl, ...",Molecular nutrition & food research,"64 (10), 1900800",0,2020,NA,ndLnGcHYRF0C
,,,,Not So Fast: Deintensification Therapy for Locally Advanced Oral Cavity Cancer,"DL Mitchell, SK Clinton, MO Old",International Journal of Radiation Oncology• Biology• Physics,"106 (5), 926-927",0,2020,NA,yeL6HyUMUGUC
,,,,Effects of a lifestyle intervention on body composition in prostate cancer patients on androgen deprivation therapy,"ZL Chaplow, BC Focht, AR Lucas, E Grainger, C Simpson, J Buell, ...",JCSM Clinical Reports,"5 (2), 52-60",0,2020,NA,EaFouW7jFu4C
,,,,Impact of Participant Engagement in a RDN-Delivered Remote Motivational Interviewing-Based Intervention for Survivors of Cancer with Overweight and Obesity,"A Braun, J Portner, E Hill, E Lipinski, S Clinton, C Spees",Journal of the Academy of Nutrition and Dietetics,"119 (10), A146",0,2019,NA,ji7lAbPyDbYC
,,,,"Objectively-determined Physical Activity And Its Association With Mobility Limitations In Older, Chronic Disease Patients: 846 Board# 80 May 29 3: 30 PM-5: 00 PM","VR DeScenza, AR Lucas, C Simpson, CM Fairman, JM Thomas-Ahner, ...",Medicine & Science in Sports & Exercise,"51 (6S), 210",0,2019,NA,m92CDrhVnKEC
,,,,Comparison of Body Composition Quantification Methods in Prostate Cancer Patients Undergoing Androgen Deprivation Therapy: 3565 Board# 253 June 1 9: 30 AM-11: 00 AM,"ZL Chaplow, BC Focht, AR Lucas, E Grainger, C Simpson, CM Fairman, ...",Medicine & Science in Sports & Exercise,"51 (6S), 985-986",0,2019,NA,BOlwja0KXvYC
,,,,Effects of a Lifestyle Intervention on Self-Efficacy Outcomes in Prostate Cancer Patients Undergoing Androgen Deprivation: 934: Board# 168 May 29 3: 30 PM-5: 00 PM,"BC Focht, AR Lucas, E Grainger, C Simpson, CM Fairman, ...",Medicine & Science in Sports & Exercise,"51 (6), 239",0,2019,NA,wLxue7F8ec0C
,,,,Tomato and Lycopene Feeding Impact Expression of Lipid and Cholesterol Metabolism Genes in Early TRAMP Mouse Model Prostate Carcinogenesis (OR05-05-19),"N Moran, JM Thomas-Ahner, HL Tan, C Silva, N Hason, J Smith, ...",Current developments in nutrition,"3 (Supplement_1), nzz029. OR05-05-19",0,2019,NA,QVtou7C4vgoC
,,,,Identifying Metabolomic Profiles of Insulinemic Dietary Patterns (OR31-03-19),"F Tabung, R Balasubramanian, S Clinton, L Liang, C Clish, ...",Current developments in nutrition,"3 (Supplement_1), nzz037. OR31-03-19",0,2019,NA,jmjb1lOE9QIC
,,,,Comparative effectiveness of surgery versus external beam radiation with/without brachytherapy in intermediate and high-risk localized prostate cancer.,"M Yin, P Monk, A Mortazavi, M Joshi, E Folefac, SK Clinton",Journal of Clinical Oncology,"37 (15_suppl), e16602-e16602",0,2019,NA,Ic1VZgkJnDsC
,,,,Tu1655–The Long Term Impact of Roux-En-Y Gastric Bypass Surgery on Colorectal Cancer: A Fourfold Increase in Risk of Serrated Colonic Neoplasia,"H Hussan, AD Drosdak, M Le Roux, K Patel, K Porter, E Ugbarugba, ...",Gastroenterology,"156 (6), S-1078",0,2019,NA,X0DADzN9RKwC
,,,,Tu1915–Feasibility of Serum Lipidomics and Fecal Microbiome As Novel Predictive Biomarkers of Severe Intragastric Balloons (IGB) Intolerance Leading to Early Igb Removal: A …,"H Hussan, BKA Dayyeh, S Clinton, K Porter, J Chen, S Johnson, J Brooks, ...",Gastroenterology,"156 (6), S-1171-S-1172",0,2019,NA,jtI9f0ekYq0C
,,,,Mo2010–The Impact of Adjustable Intragastric Balloon on Fecal Microbiome and Serum Bioactive Lipids Metabolism: A Pilot Study,"H Hussan, BKA Dayyeh, J Chen, K Porter, S Johnson, J Brooks, ...",Gastroenterology,"156 (6), S-924",0,2019,NA,TaaCk18tZOkC
,,,,Re: Diverse AR-V7 cistromes in castration-resistant prostate cancer are governed by HoxB13,A Atala,The Journal of urology,"201 (1), 33-34",0,2019,NA,PQEM9vzQD9gC
,,,,Correction: The Type of Bariatric Surgery Impacts the Risk of Acute Pancreatitis: A Nationwide Study,"H Hussan, E Ugbarugba, K Porter, S Noria, B Needleman, SK Clinton, ...",Clinical and translational gastroenterology,9 (10),0,2018,NA,rCNdntzdTkkC
,,,,"Rising, Age-Specific, Trends of Obesity-Related Gastrointestinal Cancers Correspond With Increasing Cancer Resections in Obese Patients: A 2002-2013 National Analysis Using the …","H Hussan, R Pavurala, K Porter, R Jain, SK Clinton, JM Carethers, ...",Official journal of the American College of Gastroenterology| ACG,"113, S580-S581",0,2018,NA,BmWJbWwHJAwC
,,,,Preventive Castration and Pharmacologic Antagonism of the Androgen Receptor Have Unique Mechanisms of Action in the Inhibition of Hepatocellular Carcinogenesis,"T Helms, J Thomas-Ahner, M Campbell, SK Clinton, C Coss",HEPATOLOGY,"68, 1257A-1258A",0,2018,NA,NMlhSUseqAsC
,,,,Sa1881-Bariatric Surgery is Associated with Improved Inpatient Clostridium Difficile Outcomes: A Nationwide Study,"V Udawatta, SG Krishna, S Clinton, DL Conwell, BJ Needleman, S Noria, ...",Gastroenterology,"154 (6), S-430-S-431",0,2018,NA,-6RzNnnwWf8C
,,,,Soy-enriched diet limits tumor progression and reduces myeloid derived suppressor cells in the murine TRAMP model of prostate cancer.,"TA Mace, S Loftus, S King, G Young, C Geraghy, MR Fareen, B Ware, ...",The Journal of Immunology,"200 (1 Supplement), 56.7-56.7",0,2018,NA,T_ojBgVMvoEC
,,,,Effects of a Lifestyle Intervention on Select Social Cognitive Outcomes in Prostate Cancer Patients Undergoing Androgen Deprivation Therapy: 2875 Board# 158 June 1 2: 00 PM-3 …,"BC Focht, AR Lucas, E Grainger, C Simpson, CM Fairman, ...",Medicine & Science in Sports & Exercise,"50 (5S), 708-709",0,2018,NA,SAZ1SQo2q1kC
,,,,"Age, Mobility Performance, and Physical Activity in Prostate Cancer Patients Undergoing Prolonged Androgen Deprivation Therapy: 2877 Board# 160 June 1 2: 00 PM-3: 30 PM","VR DeScenza, BC Focht, AR Lucas, E Grainger, C Simpson, CM Fairman, ...",Medicine & Science in Sports & Exercise,"50 (5S), 709",0,2018,NA,D_tqNUsBuKoC
,,,,Sa1874-Morbid Obesity Increases Risk of Adverse Clinical Outcomes in Patients with Diverticulitis and Risk of Recurrent Diverticulitis: A Nationwide Study,"H Hussan, K Patel, SG Krishna, K Porter, PP Stanich, K Mumtaz, ...",Gastroenterology,"154 (6), S-428",0,2018,NA,C33y2ycGS3YC
,,,,EFFECTS OF A LIFESTYLE INTERVENTION ON EXERCISE & DIETARY BEHAVIOR IN PROSTATE CANCER PATIENTS ON ANDROGEN DEPRIVATION THERAPY,"BC Focht, AR Lucas, E Grainger, C Simpson, C Fairman, J Thomas-Ahner, ...",ANNALS OF BEHAVIORAL MEDICINE,"52, S570-S570",0,2018,NA,qE4H1tSSYIIC
,,,,Providing Lean Beef for the Next Project: Beef as a Component of a Healthy Dietary Pattern in Cancer Survivors,"M Foster, M LeMaster, A Braun, EM England, C Spees, S Clinton",Meat and Muscle Biology,2 (2),0,2018,NA,LK8CI43ZvvMC
,,,,Prevalence and correlates of critical malnutrition (CMN) among gastrointestinal (GI) and non-GI participants in phase I/II (P1/2) clinical trials.,"R Jain, E Handorf, V Khare, M Blau, Y Chertock, SK Clinton, MJ Hall",Journal of Clinical Oncology,"36 (4_suppl), 770-770",0,2018,NA,aEW5N-EHWIMC
,,,,Effects of a Lifestyle Intervention on Change in Body Composition in Prostate Cancer Patients Undergoing Androgen Deprivation Therapy,ZL Chaplow,The Ohio State University,,0,2018,NA,tHtfpZlB6tUC
,,,,Bariatric Surgery Is Associated With Increased Risk of Acute Pancreatitis in the First 90 Days After Surgery: 2017 Category Award (Obesity): 2017 Presidential Poster Award: 1050,"H Hussan, EE Ugbarugba, M Bailey, K Porter, B Needleman, S Noria, ...",Official journal of the American College of Gastroenterology| ACG,"112, S578",0,2017,NA,zwpXiJ37cpgC
,,,,Electronic Motivational Interviewing Coaching for Overweight Cancer Survivors Improves Health Outcomes,"A Braun, J Portner, E Grainger, E Hill, G Young, S Clinton, C Spees",Journal of the Academy of Nutrition and Dietetics,"117 (9), A23",0,2017,NA,qwy9JoKyICEC
,,,,Validation of a tobacco smoke exposure gene expression signature and exploration of intraoral metabolite profiles following administration of a strawberry functional confection …,"JH Ahn-Jarvis, TJ Knobloch, S Oghumu, KM Reidl, G Brock, SK Clinton, ...",CANCER RESEARCH,77,0,2017,NA,#NAME?
,,,,Soy isoflavones and their metabolites modulate cytokine-induced NK cell function.,"TA Mace, S King, S Loftus, MR Farren, E McMichael, G Young, ...",The Journal of Immunology,"198 (1 Supplement), 208.17-208.17",0,2017,NA,Xl6nMSl579sC
,,,,Cardiopulmonary Fitness in Prostate Cancer Patients Defines Subpopulations at Risk of Metabolic and Performance Declines: 1241 Board# 5 June 1 8: 00 AM-10: 00 AM,"RA LaFountain, D Scandling, CM Geraghty, CM Fairman, BC Focht, ...",Medicine & Science in Sports & Exercise,"49 (5S), 334",0,2017,NA,k_7cPK9k7w8C
,,,,LIFESTYLE INTERVENTION EFFECTS ON MOBILITY AND BODY COMPOSITION IN PROSTATE CANCER PATIENTS ON ANDROGEN DEPRIVATION THERAPY,"B Focht, AR Lucas, E Grainger, C Simpson, C Fairman, JM Thomas-Ahner, ...",ANNALS OF BEHAVIORAL MEDICINE,"51, S1864-S1865",0,2017,NA,Hck25ST_3aIC
,,,,Green tea extract protects against diethylnitrosamine-mediated liver injury and cell proliferation by attenuating STAT3 and iNOS expression in high fat-induced obese mice with …,JB Kim,The Ohio State University,,0,2017,NA,65Yg0jNCQDAC
,,,,Roux-en-Y Gastric Bypass Surgery Is Associated with a Paradoxical Temporal Increase in Clostridium Difficile Admissions and Relapse: 2016 ACG Obesity Award: 929,"E Ugbarugba, S Clinton, M Bailey, K Porter, B Needleman, S Noria, ...",Official journal of the American College of Gastroenterology| ACG,"111, S401-S402",0,2016,NA,PkcyUWeTMh0C
,,,,To explore the tumorigenic regulation mechanism of SPZ1 in hepatocellular carcinoma,"LT Wang, SH Hsu",Cancer Research,"76 (14 Supplement), 5145-5145",0,2016,NA,DkZNVXde3BIC
,,,,"Abstract CT034: A phase I study of GSK2857916, a BCMA-directed monoclonal antibody conjugated to microtubule-disrupting agent in patients with relapsed, refractory multiple …","LD Anderson, J Cavet, AD Cohen, YY Degenhardt, CE Ellis, ...",Cancer Research,"76 (14 Supplement), CT034-CT034",0,2016,NA,5bg8sr1QxYwC
,,,,Diet stamps on bugs: early life dietary energy intake impacts gut microbiota,"J Xu, J Galley, M Bailey, J Thomas-Ahner, S Clinton, S Olivo-Marston",Cancer Research,"76 (14 Supplement), 845-845",0,2016,NA,raTqNPD5sRQC
,,,,"Associations between exercise, diet and inflammation: Results from NHANES III","MA Bittoni, SK Clinton, RE Harris, B Focht",Cancer Research,"76 (14 Supplement), 1753-1753",0,2016,NA,YsrPvlHIBpEC
,,,,Abstract LB-295: Food-based approach to cancer prevention: A phase I assessment of amorphous confections in modulating exposure and metabolism of black raspberry compounds in …,"JH Ahn-Jarvis, SK Clinton, EM Grainger, C Simpson, J Gu, MD Teegarden, ...",Cancer Research,"76 (14 Supplement), LB-295-LB-295",0,2016,NA,ziOE8S1-AIUC
,,,,Abstract CT086: Omega-3 fatty acids and ERPR (-) and HER-2/neu (+) breast cancer prevention,"LD Yee, JL Lester, SR Straka, S Woelke, JY Ke, R Shen, P Yan, J Zhang, ...",Cancer Research,"76 (14 Supplement), CT086-CT086",0,2016,NA,oi2SiIJ9l4AC
,,,,Food-based approach to cancer prevention: A phase I assessment of amorphous confections in modulating exposure and metabolism of black raspberry compounds in the oral cavity,"JH Ahn-Jarvis, SK Clinton, EM Grainger, C Simpson, J Gu, MD Teegarden, ...",CANCER RESEARCH,76,0,2016,NA,8dzOF9BpDQoC
,,,,ANAdvances in Nutrition,"JR Hébert, EA Frongillo, SA Adams, GM Turner-McGrievy, TG Hurley, ...",,,0,2016,NA,QsaTk4IG4EwC
,,,,"Resistance Training Improves Muscular Strength in Prostate Cancer Patients Undergoing Androgen Deprivation Therapy: 1875 Board# 27 June 2, 3: 30 PM-5: 00 PM","AR Lucas, BC Focht, E Grainger, C Simpson, CM Fairman, ...",Medicine & Science in Sports & Exercise,"48 (5S), 514-515",0,2016,NA,3bvyWxjaHKcC
,,,,"Ablation of the Carotenoid Cleavage Enzyme β‐Carotene‐15, 15′‐Dioxygenase (BCO1) Reduces Serum Testosterone and Prostatic Androgen Receptor Signaling in Mice","JW Smith, NA Ford, JM Thomas‐Ahner, NE Moran, EC Bolton, SK Clinton, ...",The FASEB Journal,"30, 1247.3-1247.3",0,2016,NA,uVUOdF_882EC
,,,,Abstract A21: Proteomic profiling to elucidate intratumoral heterogeneity and cancer evolution in lung cancer,"C Lee, HJ Wu, AL Moreira, EH Seeley, C Walsh, RJ Downey, F Michor",Molecular Cancer Therapeutics,"14 (12 Supplement 2), A21-A21",0,2015,NA,EPG8bYD4jVwC
,,,,"Abstract PL02-02: Tomatoes, lycopene, and prostate cancer",SK Clinton,Cancer Prevention Research,"8 (10 Supplement), PL02-02-PL02-02",0,2015,NA,SjuI4pbJlxcC
,,,,"Abstract A59: Dietary tomato and lycopene inhibition of prostate carcinogenesis in the TRAMP Model is β, β-carotene 9', 10'-oxygenase (BCO2)-dependent","HL Tan, JM Thomas-Ahner, NE Moran, GS Young, JW Erdman, ...",Cancer Prevention Research,"8 (10 Supplement), A59-A59",0,2015,NA,Ade32sEp0pkC
,,,,Abstract B45: A pilot trial of dietary fish and ω-3 fatty acid supplements in women at high risk for breast cancer,"S Straka, JL Lester, S Puchala, A Rose, R Cole, RR Andridge, SK Clinton, ...",Cancer Prevention Research,"8 (10 Supplement), B45-B45",0,2015,NA,WC9gN4BGCRcC
,,,,Growing Hope: A Comprehensive Garden-Based Health and Nutrition Education Program for Cancer Survivors,"CK Spees, E Hill, S White, E Grainger, M Kleinhenz, J Buell, R Weiss, ...",Journal of the Academy of Nutrition and Dietetics,"115 (9), A88",0,2015,NA,LPtt_HFRSbwC
,,,,Soy isoflavones and their metabolites modulate IL-12-induced NK cell IFN-γ production,"TA Mace, S King, M Farren, E McMichael, S Scoville, WE Carson, ...",Cancer Research,"75 (15 Supplement), 4278-4278",0,2015,NA,hsZV8lGYWTMC
,,,,Experimental investigations on the effects of specific berry phytochemicals and metabolites in esophageal cancer prevention in vitro,"N Shi, KM Riedl, SJ Schwartz, X Zhang, Z Pan, SK Clinton, T Chen",Cancer Research,"75 (15 Supplement), 1902-1902",0,2015,NA,yxmsSjX2EkcC
,,,,"Meeting Dietary Goals for Cancer Prevention by Age, Gender and Food Insecurity: Is Anyone Listening?","C Spees, N Hooker, S Clinton, C Taylor",The FASEB Journal,"29, 406.3",0,2015,NA,IaI1MmNe2tcC
,,,,A Role for BCO1 Beyond Carotenoid Metabolism: Effects on Androgen Status and Prostatic Homeostasis,"J Smith, N Ford, K Austin, S Clinton, J Erdman Jr",The FASEB Journal,"29, 32.2",0,2015,NA,nRpfm8aw39MC
,,,,"Willard J Visek, MD, PhD (1922–2014)","SK Clinton, JW Erdman Jr",The Journal of nutrition,"145 (3), 381-384",0,2015,NA,BzfGm06jWhQC
,,,,The Genomics of Prostate Carcinogenesis,SK Clinton,ONCOLOGIST,"20, S6-S6",0,2015,NA,XUvXOeBm_78C
,,,,Obesity and colon cancer: Does time of exposure matter,"J Xu, J Thomas-Ahner, S DeMarsh, SK Clinton, SE Olivo-Marston",Cancer Research,"74 (19 Supplement), 4104-4104",0,2014,NA,QD3KBmkZPeQC
,,,,"Bioactive compounds or metabolites from black raspberries modulate T lymphocyte function, myeloid cell differentiation and Jak/STATsignaling","TA Mace, S King, Z Ameen, O Elnaggar, G Young, K Riedl, S Schwartz, ...",Cancer Research,"74 (19 Supplement), 2585-2585",0,2014,NA,4xDN1ZYqzskC
,,,,Novel Predictive MicroRNA Signature in the Setting of Selective Trimodality Bladder Preservation Therapy,"T Lautenschlaeger, JA Efstathiou, WU Shipley, W Meng, J McElroy, ...",International Journal of Radiation Oncology• Biology• Physics,"90 (1), S462",0,2014,NA,1DsIQWDZLl8C
,,,,"Physical Activity Intensity is Differentially Associated with Body Composition and Mobility in Prostate Cancer Patients: 1771 Board# 57 May 29, 330 PM-500 PM","AR Lucas, BC Focht, N Saunders, SK Clinton, E Grainger, JM Petrosino",Medicine & Science in Sports & Exercise,"46 (5S), 473-474",0,2014,NA,4X0JR2_MtJMC
,,,,13C‐phytoene from tomato cell suspension cultures for pharmacokinetic studies in healthy adults (645.15),"N Moran, M Cichon, J Novotny, E Grainger, K Riedl, R Rogers, ...",The FASEB Journal,"28, 645.15",0,2014,NA,fbc8zXXH2BUC
,,,,A role for BCMO1 beyond carotenoid metabolism: regulation of androgen status and signaling (645.4),"J Smith, NI Ford, S Clinton, J Erdman Jr",The FASEB Journal,"28, 645.4",0,2014,NA,Aul-kAQHnToC
,,,,Dietary α‐mangostin exacerbates colitis and adversely alters the gut microbiota in mice (134.7),"F Gutierrez‐Orozco, J Thomas‐Ahner, L Berman‐Booty, J Galley, ...",The FASEB Journal,"28, 134.7",0,2014,NA,GFxP56DSvIMC
,,,,"El licopeno en la dieta, la angiogénesis y el cáncer de próstata: un estudio prospectivo en el antígeno prostático específico Era","K Zu, L Mucci, BA Rosner, SK Clinton, M Loda, MJ Stampfer, ...",J Natl Cancer Inst,"106, 2",0,2014,NA,CB2v5VPnA5kC
,,,,4 Resistance Exercise Interventions across the Cancer Control Continuum,"BC Focht, AR Lucas, SK Clinton",Resistance Training for the Prevention and Treatment of Chronic Disease,41,0,2013,NA,bz8QjSJIRt4C
,,,,The Disconnect between Cancer Prevention Recommendations and Dietary Practices by Obesity Status,"C Spees, E Hohol, S Rusnak, S Clinton, E Residorf, C Taylor",Journal of the Academy of Nutrition and Dietetics,"113 (9), A25",0,2013,NA,Ri6SYOTghG4C
,,,,Abstract LB-188: Isoflavone pharmacokinetics and metabolism after consumption of soy and soy-almond bread in men with asymptomatic prostate cancer.,"JH Ahn-Jarvis, SK Clinton, EM Grainger, KM Riedl, SJ Schwartz, ...",Cancer Research,"73 (8 Supplement), LB-188-LB-188",0,2013,NA,8xutWZnSdmoC
,,,,Reduced pro-inflammatory cytokines and immunosuppressive cells in patients with prostate cancer following consumption of soy isoflavone enriched bread.,"GB Lesinski, TA Mace, P Reville, J Ahn-Jarvis, M Bill, C Nicholas, ...",Cancer Research,"73 (8 Supplement), 162-162",0,2013,NA,nZcligLrVowC
,,,,Biomarkers of adherence and efficacy: modulation of biomarkers of DNA damage in a Phase 1b trial of post-surgical oral cancer patients on a long-term food-based prevention …,"LK Uhrig, TJ Knobloch, BC Casto, A Agrawal, DE Schuller, TN Teknos, ...",Cancer Research,"73 (8 Supplement), 4680-4680",0,2013,NA,OP4eGU-M3BUC
,,,,The interaction of tomato powder and soy germ on prostate carcinogenesis in the TRAMP model,"KE Zuniga, JW Smith, SK Clinton, JW Erdman",The FASEB Journal,"27, 235.1-235.1",0,2013,NA,xtoqd-5pKcoC
